STFIPS,COUNTY_NAME,SDCOUNT,PER5_T,PER49_T,PER84_T,PER94_T,PER98_T,PER85P_T,SCHLCNT_T,NUMCHILD_T,PER5_ES,PER49_ES,PER84_ES,PER94_ES,PER98_ES,PER85P_ES,SCHLCNT_ES,NUMCHILD_ES,PER5_MSHS,PER49_MSHS,PER84_MSHS,PER94_MSHS,PER98_MSHS,PER85P_MSHS,SCHLCNT_MSHS,NUMCHILD_MSHS
36001,Albany,12,0.54,29.15,40.97,13.00,16.34,29.34,65,7762,,29.09,46.42,11.25,13.23,24.49,54,4194,1.18,29.23,34.56,15.05,19.98,35.03,23,3568
36003,Allegany,12,0.58,25.69,46.89,10.78,16.06,26.85,22,1382,1.05,29.00,49.21,7.48,13.25,20.73,18,762,0.00,21.61,44.03,14.84,19.52,34.35,16,620
36007,Broome,12,0.40,25.16,41.34,15.36,17.74,33.11,55,8077,0.25,26.93,43.22,14.80,14.80,29.60,43,4047,0.55,23.37,39.45,15.93,20.69,36.63,23,4030
36009,Cattaraugus,13,0.56,23.72,40.43,16.57,18.72,35.28,38,4274,0.54,25.27,43.67,14.74,15.78,30.52,27,2402,0.59,21.74,36.27,18.91,22.49,41.40,21,1872
36011,Cayuga,7,,24.95,38.77,15.14,21.14,36.28,23,2966,,25.03,40.21,13.94,20.82,34.76,17,1686,0.00,24.84,36.88,16.72,21.56,38.28,11,1280
36013,Chautauqua,18,0.28,26.42,41.32,12.92,19.07,31.98,50,5087,0.52,28.48,44.99,10.49,15.52,26.01,40,2707,0.00,24.08,37.14,15.67,23.11,38.78,24,2380
36015,Chemung,3,0.78,26.70,38.04,16.15,18.33,34.48,23,2700,0.44,26.57,40.73,14.54,17.73,32.27,17,1596,1.27,26.90,34.15,18.48,19.20,37.68,9,1104
36017,Chenango,8,3.52,23.61,37.98,15.36,19.52,34.88,20,1419,3.87,25.16,37.29,14.84,18.84,33.68,15,775,3.11,21.74,38.82,15.99,20.34,36.34,11,644
36019,Clinton,8,0.25,24.39,39.90,17.25,18.21,35.46,29,2411,0.47,25.41,41.94,16.99,15.18,32.18,21,1271,0.00,23.25,37.63,17.54,21.58,39.12,14,1140
36021,Columbia,7,0.23,30.65,35.18,14.46,19.49,33.94,18,2186,0.44,33.78,35.82,13.03,16.93,29.96,13,1128,0.00,27.32,34.50,15.97,22.21,38.19,9,1058
36023,Cortland,5,0.36,26.63,40.71,14.44,17.85,32.29,18,1378,,27.30,42.57,15.28,14.85,30.13,12,707,0.75,25.93,38.75,13.56,21.01,34.58,7,671
36025,Delaware,12,,24.31,43.24,14.90,17.55,32.45,18,1094,,24.01,43.38,17.88,14.74,32.62,15,604,0.00,24.69,43.06,11.22,21.02,32.24,14,490
36027,Dutchess,13,1.24,27.71,38.06,16.18,16.81,32.99,79,8173,1.00,28.42,42.82,13.15,14.61,27.77,63,4318,1.50,26.93,32.74,19.56,19.27,38.83,30,3855
36029,Erie,29,0.96,31.64,38.58,13.45,15.38,28.83,202,22608,0.88,33.21,40.45,11.85,13.61,25.46,154,12820,1.05,29.59,36.13,15.54,17.70,33.23,111,9788
36031,Essex,11,,24.13,45.56,16.19,14.13,30.32,14,630,,23.63,45.53,16.43,14.41,30.84,12,347,0.00,24.73,45.58,15.90,13.78,29.68,11,283
